id,title,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,popularity,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
104877,Love Is In The Air,2,52,tr,2920,8.2,"Eda, who ties all her hopes to her education, confronts Serkan Bolat, who cuts off her international education scholarship and leaves her with high school diploma. Serkan Bolat offers Eda to give her scholarship back if she pretends to be his fiance for two months. Although Eda rejects the offer of this man as she hates him, she has to accept it when the conditions change. While pretending to be engaged, Serkan and Eda begin to experience a passionate, challenging relationship that will make them forget all they know right. Because love is difficult. And that's why it's amazing.",FALSE,/ic7YfRS52N3m4oalxoOIT665C33.jpg,08-07-2020,08-09-2021,https://www.fox.com.tr/Sen-Cal-Kapimi,FALSE,Sen Çal Kapımı,261.128,/bE71f9A3eztjcd5JT3MmHB8MbzA.jpg,Scripted,Ended,,"Drama, Comedy",Ayse Uber Kutlu,tr,FOX,TR,Türkçe,MF Yapım,Turkey,130
1911,Bones,12,246,en,2891,8.264,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",FALSE,/e9n87p3Ax67spq3eUgLB6rjIEow.jpg,13-09-2005,28-03-2017,http://www.fox.com/bones,FALSE,Bones,304.742,/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg,Scripted,Ended,Every body has secrets.,"Crime, Drama",Hart Hanson,en,FOX,US,English,"20th Century Fox Television, Far Field Productions, Josephson Entertainment",United States of America,40
88329,Hawkeye,1,6,en,2887,7.96,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero. The two are forced to work together when a presence from Barton’s past threatens to derail far more than the festive spirit.",FALSE,/1R68vl3d5s86JsS2NPjl8UoMqIS.jpg,24-11-2021,22-12-2021,https://www.disneyplus.com/series/hawkeye/11Zy8m9Dkj5l,FALSE,Hawkeye,61.881,/ct5pNE5dDHryHLDnxyZPYcqO1sz.jpg,Miniseries,Ended,"This holiday season, the best gifts come with a bow.","Drama, Comedy, Action & Adventure",Jonathan Igla,en,Disney+,US,English,"Marvel Studios, Kevin Feige Productions",United States of America,0
80020,Super Dragon Ball Heroes,6,49,ja,2882,7.564,"Trunks returns from the future to train with Goku and Vegeta. However, it disappears without warning. Then the mysterious Fu bursts in, telling them that Trunks has been imprisoned in the Prison Planet, a mysterious complex in an unknown place in the universes. The group seeks the dragon balls to free Trunks, but an endless battle awaits them! Will Goku and the others rescue Trunks and escape the Prison Planet?",FALSE,/xlKKD1TXJvh0YYlVPqqQ3g3ZUjM.jpg,01-07-2018,24-08-2023,http://www.carddass.com/dbh/sdbh/prison_planet,TRUE,スーパードラゴンボールヒーローズ,122.817,/8jq6xv5c1WK7KAPOXCsodm8eUxp.jpg,Scripted,Returning Series,,"Animation, Action & Adventure, Sci-Fi & Fantasy",,ja,Fuji TV,JP,日本語,"Toei Animation, Fuji Television Network",Japan,10
48891,Brooklyn Nine-Nine,8,152,en,2875,8.236,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",FALSE,/9AeiA1XtP5sel2tAf9LaGeUjhDb.jpg,17-09-2013,16-09-2021,https://www.nbc.com/brooklyn-nine-nine,FALSE,Brooklyn Nine-Nine,605.277,/hgRMSOt7a1b8qyQR68vUixJPang.jpg,Scripted,Ended,The law. Without the order.,"Comedy, Crime","Michael Schur, Daniel J. Goor",en,"NBC, FOX",US,English,"Dr. Goor Productions, Universal Television, 3 Arts Entertainment, Fremulon",United States of America,21
39351,Grimm,6,122,en,2869,8.283,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",FALSE,/oS3nip9GGsx5A7vWp8A1cazqJlF.jpg,28-10-2011,31-03-2017,http://www.nbc.com/grimm/,FALSE,Grimm,167.114,/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,Scripted,Ended,Mortal. Danger.,"Drama, Mystery, Sci-Fi & Fantasy","Jim Kouf, Stephen Carpenter, David Greenwalt",en,NBC,US,English,"Universal Television, Hazy Mills Productions",,45
615,Futurama,8,134,en,2867,8.396,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",FALSE,/pMCvRynXABgLBMKHYa2UXjTBMsU.jpg,28-03-1999,25-09-2023,https://www.hulu.com/series/futurama-85bf4cc1-cd8b-4469-ad87-7289217a0b74,TRUE,Futurama,185.307,/7RRHbCUtAsVmKI6FEMzZB6Re88P.jpg,Scripted,Returning Series,We're back again! Again!,"Animation, Comedy, Sci-Fi & Fantasy",Matt Groening,en,"FOX, Comedy Central, Hulu",US,English,"20th Century Fox Television, The Curiosity Company, 20th Television Animation",United States of America,22
2691,Two and a Half Men,12,262,en,2843,7.452,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,FALSE,/2pOmuq4nkWZzwZbOfZq7CyyQAsM.jpg,22-09-2003,18-02-2015,http://www.cbs.com/shows/two_and_a_half_men/,FALSE,Two and a Half Men,489.162,/A9QDK4OWpv41W27kCv0LXe30k9S.jpg,Scripted,Ended,Two adults. One kid. No grown-ups.,"Comedy, Drama","Chuck Lorre, Lee Aronsohn",en,CBS,US,English,"CBS Studios, Warner Bros. Entertainment, Warner Bros. Television",United States of America,30
46952,The Blacklist,10,218,en,2834,7.619,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",FALSE,/2eIlCirgcvEwmCSYh2wDfz5Sxvz.jpg,23-09-2013,13-07-2023,http://www.nbc.com/the-blacklist,FALSE,The Blacklist,416.841,/r935SMphvXppx5bJjbIBNx02fwc.jpg,Scripted,Ended,Never trust a criminal... Until you have to.,"Drama, Crime, Mystery",Jon Bokenkamp,en,NBC,US,English,"Sony Pictures Television Studios, Davis Entertainment, Universal Television",United States of America,43
86831,"Love, Death & Robots",3,35,en,2804,8.264,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",FALSE,/hkkR14vBgGV4TM0e7BGlMcAQETS.jpg,15-03-2019,20-05-2022,https://www.netflix.com/title/80174608,TRUE,"Love, Death & Robots",113.607,/cRiDlzzZC5lL7fvImuSjs04SUIJ.jpg,Scripted,Returning Series,The threesome you've been waiting for.,"Animation, Sci-Fi & Fantasy",Tim Miller,en,Netflix,US,English,"Blur Studio, Studio La Cachette",United States of America,0
