id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
121,The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action",en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",162.716,18-12-2002,8.4,18370
73,American History X,Drama,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",32.756,01-07-1998,8.4,9700
567,Rear Window,"Thriller,Mystery",en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,19.511,01-08-1954,8.4,5230
27205,Inception,"Action,Science Fiction,Adventure",en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",111.757,15-07-2010,8.4,31917
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy",ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",802.132,16-10-2020,8.4,2564
632632,Given,"Animation,Drama,Music,Romance",ja,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",92.227,22-08-2020,8.4,324
901,City Lights,"Comedy,Drama,Romance",en,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",13.321,01-02-1931,8.4,1661
12493,High and Low,"Crime,Drama,Mystery,Thriller",ja,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,10.462,01-03-1963,8.4,601
914,The Great Dictator,"Comedy,War",en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,17.663,15-10-1940,8.4,2659
807,Se7en,"Crime,Mystery,Thriller",en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",47.045,22-09-1995,8.4,17351
361743,Top Gun: Maverick,"Action,Drama",en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",7567.017,24-05-2022,8.4,1690
128,Princess Mononoke,"Adventure,Fantasy,Animation",ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",42.985,12-07-1997,8.3,6405
644479,Dedicated to my ex,"Drama,Comedy",es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",12.695,01-11-2019,8.3,473
274,The Silence of the Lambs,"Crime,Drama,Thriller",en,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",11.372,01-02-1991,8.3,13478
25237,Come and See,"Drama,History,War",ru,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",12.869,09-07-1985,8.3,961
630566,Clouds,"Music,Drama,Romance",en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",21.826,09-10-2020,8.3,855
207,Dead Poets Society,Drama,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",32.638,02-06-1989,8.3,9250
3082,Modern Times,"Comedy,Drama",en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,15.754,05-02-1936,8.3,2993
527641,Five Feet Apart,"Romance,Drama",en,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",98.531,14-03-2019,8.3,4819
101,Léon: The Professional,"Crime,Drama,Action",en,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",55.424,14-09-1994,8.3,12278
335,Once Upon a Time in the West,"Drama,Western",it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",21.526,21-12-1968,8.3,3443
556574,Hamilton,"History,Drama",en,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",11.644,03-07-2020,8.3,982
975,Paths of Glory,"Drama,War",en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,11.774,25-10-1957,8.3,2226
618344,Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction",en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",41.778,05-05-2020,8.3,1189
